,variable,descriptions
250,K9Q21,"Would you say that, in general, [[S.C.]'s [FATHER TYPE]'s / your] health is excellent, very good, good, fair, or poor?"
251,K9Q22,"Would you say that, in general, your health is excellent, very good, good, fair, or poor? (non-parent respondent)"
252,K9Q23,"Would you say that, in general, [[S.C.]'s [MOTHER TYPE]'s / your] mental and emotional health is excellent, very good, good, fair, or poor?"
253,K9Q24,"Would you say that, in general, [[S.C.]'s [FATHER TYPE]'s / your] mental and emotional health is excellent, very good, good, fair, or poor?"
254,K9Q25,"Would you say that, in general, your mental and emotional health is excellent, very good, good, fair, or poor? (non-parent respondent)"
255,K9Q30,"During the past week, on how many days did [you / [S.C.]'s [MOTHER TYPE]] exercise, play sports, or participate in physical activity for at least 20 minutes that made [you/her] sweat and breathe hard?"
256,K9Q31,"During the past week, on how many days did [you / [S.C.]'s [FATHER TYPE]] exercise, play sports, or participate in physical activity for at least 20 minutes that made [you/him] sweat and breathe hard?"
257,K9Q32,"During the past week, on how many days did you exercise, play sports, or participate in physical activity for at least 20 minutes that made you sweat and breathe hard? (non-parent respondent)"
258,K9Q40,"Does anyone living in your household use cigarettes, cigars, or pipe tobacco?"
259,K9Q41,Does anyone smoke inside [S.C.]'s home?
260,K10Q11,Do sidewalks or walking paths exist in your neighborhood?
261,K10Q12,Does a park or playground area exist in your neighborhood?
262,K10Q13,"Does a recreation center, community center, or boys' or girls' club exist in your community?"
263,K10Q14,Does a library or bookmobile exist in your community?
264,K10Q20,"In your neighborhood, is there litter or garbage on the street or sidewalk?"
265,K10Q22,How about poorly kept or [dilapidated/rundown] housing?
266,K10Q23,How about vandalism such as broken windows or graffiti? H:\Data\NSCH 2007\PUF01\create_formatted_frequencies.lst 2007 NSCH 7 Public Use File Variables The CONTENTS Procedure Variables in Creation Order # Variable Type Len Format Label
267,K10Q30,"""People in this neighborhood help each other out."" Would you say that you...?"
268,K10Q31,"""We watch out for each other's children in this neighborhood."" Would you say that you...?"
269,K10Q32,"""There are people I can count on in this neighborhood."" Would you say that you...?"
270,K10Q34,"""If my child were outside playing and got hurt or scared, there are adults nearby who I trust to help my child."" Would you say that you...?"
271,K10Q40,How often do you feel [S.C.] is safe in your community or neighborhood?
272,K10Q41,How often do you feel [he/she] is safe at school?
273,HISPANIC,Derived -Edited K11Q01 after Back Coding Other Race Response
274,RACER,"Race classification for all states (White,Black,Mutiracial,Other)"
275,RACE_HI,Race classification for Hawaii
276,RACEASIA,Race classification of target child with Asian specification for select states
277,RACEAIAN,Race classification of target child with American Indian/Alaskan Native specification for select states
278,K11Q03R,"At any time during the past 12 months, did SC receive services from any Indian Health Service hospital or clinic? [for states ALASKA ARIZONA MONTANA NEW MEXICO NORTH DAKOTA OKLAHOMA SOUTH DAKOTA]"
279,EDUC_MOMR,What is the highest grade or year of school [you have / [S.C.]'s [MOTHER TYPE] has] completed?
280,EDUC_DADR,What is the highest grade or year of school [you have / [S.C.]'s [FATHER TYPE] has] completed?
281,EDUC_RESR,What is the highest grade or year of school you have completed? (non-parent respondent)
282,K11Q30,[Were you / Was [S.C.]'s [MOTHER TYPE]] born in the United States?
283,K11Q31,[Were you / Was [S.C.]'s [FATHER TYPE]] born in the United States?
284,K11Q32,Were you born in the United States? (non-parent respondent)
285,K11Q33,And how about [S.C.]? (born in the United States)
286,K11Q34AR,How long [have you / has [S.C.]'s [MOTHER TYPE]] been in the United States? -Standardized to Years
287,K11Q35AR,How long [have you / has [S.C.]'s [FATHER TYPE]] been in the United States? -Standardized to Years
288,K11Q36AR,How long have you been in the United States? (non-parent respondent) -Standardized to Years
289,K11Q37AR,How long has [S.C.] been in the United States? -Standardized to Years
290,K11Q43R,How many times has [S.C.] ever moved to a new address?
291,K11Q50,"Was anyone in the household employed at least 50 weeks out of the past 52 weeks? 292 POVERTY_ Num 3 POVERTY_LEVELR. Derived -Poverty Level of this Household Based on DHHS Poverty Guidelines -8 Categories LEVELR 293 K11Q60 Num 3 K2Q19_. At any time during the past 12 months, even for one month, did anyone in this household receive any cash assistance from a state or county welfare program, such as [state TANF name]? 294 K11Q61 Num 3 K2Q19_. During the past 12 months, did [[S.C.] / any child in the household] receive Food Stamps? 295 K11Q62 Num 3 K2Q19_. During the past 12 months, did [[S.C.] / any child in the household] receive free or reduced-cost breakfasts or lunches at school? 296 OTH_LANG Num 3 OTH_LANG. Derived -Interview Conducted in Language Other than English 297 SUMMER Num 3 LANG1_. Derived -Interview Was Completed in June, July, or August 298 NSCHWT Num 8 NSCH Final Weight H:\Data\NSCH 2007\PUF01\create_formatted_frequencies.ls"
292,POVERTY_LEVELR,
293,K11Q60,"At any time during the past 12 months, even for one month, did anyone in this household receive any cash assistance from a state or county welfare program, such as [state TANF name]?"
294,K11Q61,"During the past 12 months, did [[S.C.] / any child in the household] receive Food Stamps?"
295,K11Q62,"During the past 12 months, did [[S.C.] / any child in the household] receive free or reduced-cost breakfasts or lunches at school?"
296,OTH_LANG,Derived -Interview Conducted in Language Other than English
297,SUMMER,"Derived -Interview Was Completed in June, July, or August"
298,NSCHWT,Final Weight H:\Data\NSCH 2007\PUF01\create_formatted_frequencies.lst
